id,path
44734,1 8 49 5 21 19 5 6 9 11
32613,12 15 33 24 42 43 67 34 18 9 11
44264,14 8 33 34 47 9 11
34785,12 78 24 25 60 9 4
44733,1 8 49 5 21 19 5 6 9 4
14500,1 8 49 65 42 43 25 54 34 20 7
16181,14 8 49 49 73 75 39 40 40 66 6 11
1113,12 77 24 24 42 43 67 25 43 40 76 38 9 11
32614,12 15 33 24 42 43 67 34 18 9 4
34786,12 78 24 25 60 9 11
47378,14 8 5 24 70 42 24 53 24 25 95 81 50 7
57306,1 5 33 24 58 24 25 59 38 7
19711,14 8 108 24 25 6 11
19712,14 8 108 24 25 6 7
41828,1 8 108 24 58 24 25 29 20 83 9 11
58078,12 78 24 42 43 67 43 74 9 4
41827,1 8 108 24 58 24 25 29 20 83 9 4
48430,1 8 49 51 33 24 25 29
58077,12 78 24 42 43 67 43 74 9 11
25655,14 8 5 5 33 24 42 43 67 25 34 50 7
59021,14 8 49 35 53 54 25 43 66 50 50 9 11
13210,12 15 49 112 57 24 25 34 50 60 9 11
16015,1 8 98 63 24 53 24 25 34 9 11
13211,12 15 49 112 57 24 25 34 50 60 9 4
42834,14 8 73 80 42 43 25 34 9 11
46659,1 8 56 53 54 25 43 66 22 7
45218,14 8 37 42 43 29 6 20 7
42835,14 8 73 80 42 43 25 34 9 4
47769,14 8 19 63 42 24 58 24 25 6 9 4
63609,1 5 75 53 54 60 9 11
63610,1 5 75 53 54 60 9 4
62601,14 8 63 24 53 24 25 6 9 4
6545,1 8 49 17 18 16 7
30340,14 8 104 112 57 24 25 29 18 113 9 11
17201,12 21 33 24 25 43 25 55 9 4
31713,77 42 24 25 34 9 11
17202,12 21 33 24 25 43 25 55 9 11
21000,1 8 35 24 25 34 50 9 4
36432,14 8 49 42 43 25 43 36 9 4
43323,1 8 35 53 54 25 34 16 9 11
16016,1 8 98 63 24 53 24 25 34 9 4
21001,1 8 35 24 25 34 50 9 11
43324,1 8 35 53 54 25 34 16 9 4
16203,12 17 49 5 6 7
36431,14 8 49 42 43 25 43 36 9 11
56406,12 33 24 25 43 87 7
3524,14 8 19 20 22 22 7
15648,1 8 49 65 42 43 54 34 9 4
15649,1 8 49 65 42 43 54 34 9 11
1366,14 8 63 64 20 9 4
55716,14 8 17 5 35 36 9 4
1365,14 8 63 64 20 9 11
42591,1 8 56 24 42 24 58 24 25 93 25 27
55715,14 8 17 5 35 36 9 11
26369,1 8 35 53 54 111 50 9 4
31714,77 42 24 25 34 9 4
15468,1 2 24 25 34 105 47 9 11
62600,14 8 63 24 53 24 25 6 9 11
15467,1 2 24 25 34 105 47 9 4
24354,14 8 49 61 62 18 9 11
5168,1 8 57 24 70 42 24 25 43 9 4
31090,28 24 42 43 67 34 7
40536,14 8 82 33 24 25 64 7
20656,14 8 49 17 33 24 25 43 6 9 11
56076,1 8 17 37 75 76 76 74 9 11
24353,14 8 49 61 62 18 9 4
57438,1 8 17 37 75 76 76 74 9 4
48930,14 8 35 42 24 58 24 25 43 76 6 9 4
63938,14 8 49 24 25 25 25 9 4
23107,14 8 33 34 83 16 83 20 20 9 4
23108,14 8 33 34 83 16 83 20 20 9 11
52714,1 8 65 39 39 42 24 53 24 25 6 7
41307,14 8 106 86 87 7
63937,14 8 49 24 25 25 25 9 11
60500,1 8 82 33 24 42 43 67 43 66 7
52713,1 8 65 39 39 42 24 53 24 25 6 11
18118,1 8 19 82 33 24 25 34 22 9 4
7936,1 8 49 35 42 43 34 9 4
7935,1 8 49 35 42 43 34 9 11
52307,14 8 73 75 75 42 43 25 43 66 9 11
48929,14 8 35 42 24 58 24 25 43 76 6 9 11
64927,1 8 49 51 5 24 25 34 16 9 11
13756,1 8 49 17 18 18 7
59460,12 82 65 42 43 25 43 66 9 4
18117,1 8 19 82 33 24 25 34 22 9 11
48908,12 17 5 75 76 6 11
20659,14 8 49 17 33 24 25 43 6 9 4
59461,12 82 65 42 43 25 43 66 9 11
64756,1 8 49 51 5 24 25 34 16 9 4
62241,14 8 49 50 50 50 9 11
27895,14 8 33 42 24 42 70 42 24 58 24 25 43 66 7
41916,14 8 82 19 33 24 58 24 25 29 20 83 9 11
62240,14 8 49 50 50 50 9 4
57781,1 31 32 25 43 62 9 4
58401,1 8 33 24 25 43 76 74 9 4
41915,14 8 82 19 33 24 58 24 25 29 20 83 9 4
48082,1 8 13 5 24 25 34 95 36 20 7
38484,1 8 65 39 42 24 25 34 7
3852,12 33 24 25 93 25 64 20 9 11
45161,1 8 17 18 50 20 7
47538,14 8 57 24 58 24 25 34 6 11
57782,1 31 32 25 43 62 9 11
29869,1 8 112 5 19 77 24 25 29 22 6 11
49745,12 65 58 24 25 59 25 34 9 4
2949,14 8 19 20 22 9 4
62183,1 8 15 33 24 25 34 50 50 9 4
42849,1 8 33 24 42 24 25 43 81 74 9 4
49744,12 65 58 24 25 59 25 34 9 11
2950,14 8 19 20 22 9 11
62182,1 8 15 33 24 25 34 50 50 9 11
49961,1 8 104 65 42 24 25 34 105 9 4
14030,12 82 33 24 25 109 9 4
22319,14 8 33 34 83 20 22 16 7
14031,12 82 33 24 25 109 9 11
51123,14 8 57 53 54 25 43 36 50 16 7
49962,1 8 104 65 42 24 25 34 105 9 11
39987,14 8 57 24 58 24 25 34 9 4
49746,12 65 58 24 25 59 25 34 6 11
52769,1 8 17 19 15 33 24 25 43 40 66 16 9 4
43465,14 8 17 17 33 24 25 34 18 18 9 11
46444,14 8 49 33 24 42 53 24 25 43 62 9 4
54578,14 8 5 33 24 25 34 18 20 9 4
52772,1 8 17 19 15 33 24 25 43 40 66 16 9 11
46452,14 8 49 33 24 42 53 24 25 43 62 9 11
54577,14 8 5 33 24 25 34 18 20 9 11
59403,12 21 5 70 42 24 42 43 67 43 76 66 7
28202,14 8 56 24 42 24 53 24 25 43 66 9 11
43464,14 8 17 17 33 24 25 34 18 18 9 4
8805,14 8 17 49 5 33 24 25 54 36 9 11
45286,1 8 5 24 25 6 16 20 9 4
23971,1 8 17 18 50 18 7
8804,14 8 17 49 5 33 24 25 54 36 9 4
45285,1 8 5 24 25 6 16 20 9 11
48935,14 8 56 24 58 24 25 43 76 6 11
52746,1 8 17 33 24 25 43 40 66 16 20 9 11
16572,14 8 49 5 65 75 76 66 6 50 9 11
39985,14 8 33 70 42 24 58 24 25 34 7
15287,1 8 56 53 54 25 43 25 34 50 9 11
16575,14 8 49 5 65 75 76 66 6 50 9 4
50598,12 21 33 53 54 88 9 4
24094,12 5 24 25 43 55 9 11
28201,14 8 56 24 42 24 53 24 25 43 66 9 4
23617,12 5 24 25 43 55 9 4
19804,14 8 35 53 54 6 16 55 9 4
39988,14 8 57 24 58 24 25 34 9 11
52747,1 8 17 33 24 25 43 40 66 16 20 9 4
55277,1 8 17 35 53 54 25 43 36 50 9 11
19803,14 8 35 53 54 6 16 55 9 11
20862,1 8 82 15 33 24 53 24 25 34 9 11
13859,1 5 82 33 24 25 34 9 4
50597,12 21 33 53 54 88 9 11
16758,1 5 24 70 42 70 42 24 42 43 67 25 43 25 6 11
47768,14 8 19 63 42 24 58 24 25 6 9 11
55278,1 8 17 35 53 54 25 43 36 50 9 4
3951,14 8 35 42 43 25 43 67
20863,1 8 82 15 33 24 53 24 25 34 9 4
17757,12 82 39 40 62 20 9 11
13860,1 5 82 33 24 25 34 9 11
39472,1 5 42 43 67 43 66 16 7
38781,12 86 39 42 24 25 54 34 9 4
43696,14 8 19 17 19 21 78 42 24 25 43 38 16 7
38782,12 86 39 42 24 25 54 34 9 11
6019,14 8 56 53 54 25 34 50 16 7
38944,1 8 65 39 42 24 25 29 7
17758,12 82 39 40 62 20 9 4
64820,1 8 51 49 51 15 33 24 53 24 25 6 11
37617,14 8 13 33 24 25 6 10 113 9 4
62836,12 78 24 42 43 67 43 74 16 9 11
59682,12 61 42 24 53 24 25 6 7
22302,14 8 19 20 22 16 7
64821,1 8 51 49 51 15 33 24 53 24 25 6 7
1905,1 8 21 22 16 18 9 11
6968,12 17 73 53 54 55 9 11
37616,14 8 13 33 24 25 6 10 113 9 11
28890,14 8 73 42 43 34 9 11
40420,14 8 57 53 54 25 34 6 50 18 9 4
29048,1 8 56 42 24 53 24 53 24 25 6 83 7
1904,1 8 21 22 16 18 9 4
22083,12 61 42 24 53 24 25 6 11
14739,1 8 5 42 43 25 55 9 11
28891,14 8 73 42 43 34 9 4
40828,1 8 91 24 96 24 25 34 7
14738,1 8 5 42 43 25 55 9 4
6969,12 17 73 53 54 55 9 4
28590,14 8 19 73 58 59 25 34 50 9 4
46739,1 5 6 95 87 9 4
52322,1 8 49 5 24 42 43 67 25 64 7
13514,14 8 5 33 24 25 43 38 9 4
29492,1 8 49 63 24 53 24 25 34 7
28591,14 8 19 73 58 59 25 34 50 9 11
25365,14 8 21 5 33 24 25 43 66 7
46738,1 5 6 95 87 9 11
64304,1 8 15 104 33 70 42 24 25 84 9 11
3674,1 8 13 5 24 25 29 9 11
7598,1 8 17 49 15 33 24 25 34 9 4
30131,1 8 104 49 33 24 25 88 105 9 11
59136,12 21 5 42 43 67 6 16 22 7
64303,1 8 15 104 33 70 42 24 25 84 9 4
63976,1 8 49 5 24 58 24 25 55 9 11
21221,14 8 82 33 24 53 24 25 29 7
3673,1 8 13 5 24 25 29 9 4
62837,12 78 24 42 43 67 43 74 16 9 4
7599,1 8 17 49 15 33 24 25 34 9 11
13515,14 8 5 33 24 25 43 38 9 11
63975,1 8 49 5 24 58 24 25 55 9 4
50345,1 8 33 24 25 43 76 74 16 7
62186,1 8 15 33 24 25 34 50 50 16 7
10922,1 8 5 24 70 42 24 25 43 36 9 4
5895,1 8 33 24 24 25 6 11
41499,1 8 49 19 20 83 9 11
52800,1 5 15 33 24 25 43 76 38 9 11
5051,1 8 33 24 25 59 25 55 9 11
14257,1 8 33 24 24 25 6 7
46505,14 8 56 15 5 58 24 25 6 9 4
25726,14 8 17 33 24 42 24 25 43 25 29 7
1098,1 31 32 25 25 25 25 9 11
41500,1 8 49 19 20 83 9 4
10921,1 8 5 24 70 42 24 25 43 36 9 11
34739,12 15 33 24 25 79 7
42210,12 17 35 53 54 25 43 6 9 11
42209,12 17 35 53 54 25 43 6 9 4
6428,1 8 56 24 96 97 74 9 4
63011,12 77 42 70 42 70 42 24 25 25 3 11
32618,12 21 33 24 25 34 7
58958,1 5 6 16 22 50 9 11
10708,1 8 33 24 25 54 36 18 9 4
13158,12 15 49 112 61 94 95 50 9 11
4588,12 17 15 33 24 25 34 16 9 4
62238,1 8 49 50 50 50 9 11
62237,1 8 49 50 50 50 9 4
16991,14 8 61 42 43 34 16 9 4
57397,1 8 33 24 25 54 36 18 9 11
4589,12 17 15 33 24 25 34 16 9 11
13157,12 15 49 112 61 94 95 50 9 4
1099,1 31 32 25 25 25 25 9 4
16988,14 8 61 42 43 34 16 9 11
9996,1 8 49 33 24 25 59 66 50 60 9 11
9208,14 8 65 42 70 42 24 25 29 9 11
63010,12 77 42 70 42 70 42 24 25 25 3 4
9997,1 8 49 33 24 25 59 66 50 60 9 4
60187,1 8 49 49 24 24 24 25 6 11
8808,14 8 17 49 5 33 24 25 54 36 18 7
48174,1 8 56 53 54 25 88 9 4
4453,1 8 17 18 50 9 4
37979,1 8 5 33 24 25 18 18 9 4
